,date,pred,actual,trgt,net_pnl
0,2024-08-02,1,-1,0.01321213635621159,-1.075682258401117
1,2024-08-05,1,1,0.07514336279496885,0.9866922818584742
2,2024-08-06,1,1,0.09027797986582171,0.9889232244151821
3,2024-08-07,1,1,0.07626258378601704,0.9868875818528823
4,2024-08-08,1,-1,0.08410432056277856,-1.0118898542126544
5,2024-08-09,1,-1,0.0756062446588656,-1.013226245771975
6,2024-08-12,1,1,0.06881776348295868,0.985469079225063
7,2024-08-13,-1,-1,0.06432969539690798,0.984455321152209
8,2024-08-14,-1,1,0.06046925353835849,-1.0165370565110277
9,2024-08-15,1,1,0.056421275152181545,0.9822765034323269
10,2024-08-16,-1,1,0.05545584509747112,-1.0180320391151425
11,2024-08-19,1,1,0.05162197489688778,0.9806287800732637
12,2024-08-20,-1,1,0.048249200699339474,-1.0207253023926528
13,2024-08-21,-1,-1,0.04683897765836797,0.9786507156921893
14,2024-08-22,-1,1,0.0448266389850559,-1.0223076660435624
15,2024-08-23,-1,-1,0.04626602618000202,0.9783863350951173
16,2024-08-26,-1,-1,0.04373383084356553,0.977134929283781
17,2024-08-27,1,-1,0.04185509028630834,-1.0238913857734848
18,2024-08-28,1,-1,0.04309169615083862,-1.0232057886677517
19,2024-08-29,1,-1,0.04071136716100757,-1.0245625609546416
20,2024-08-30,1,-1,0.03850710195687704,-1.0259685611386362
21,2024-09-03,1,-1,0.03644508191168181,-1.0274377915964534
22,2024-09-04,1,-1,0.03448387510326462,-1.0289982201473982
23,2024-09-05,1,-1,0.03410002620028698,-1.0293246307054416
24,2024-09-06,1,1,0.03435795494259314,0.9708955059410044
25,2024-09-09,1,1,0.0406134022772084,0.9753781923669681
26,2024-09-10,1,1,0.0388210401024326,0.974241436118208
27,2024-09-11,1,1,0.03683168516742481,0.9728502009708374
28,2024-09-12,1,1,0.035163051663348634,0.9715618663749633
29,2024-09-13,1,1,0.03425083945162847,0.9708044877002232
30,2024-09-16,1,1,0.03400855210647163,0.9705964960411898
31,2024-09-17,-1,1,0.034099658516291244,-1.0293249468928074
32,2024-09-18,1,1,0.03237100043631577,0.969109107051717
33,2024-09-19,1,1,0.034314973947335806,0.9708590523604347
34,2024-09-20,1,1,0.032823149571053915,0.9695346257841253
35,2024-09-23,1,1,0.031176185297538975,0.967925263603609
36,2024-09-24,1,-1,0.02982652028472466,-1.0335260856569468
37,2024-09-25,1,1,0.029468193082660427,0.9660662578308465
38,2024-09-26,-1,-1,0.028669054893260222,0.9651204016273063
39,2024-09-27,-1,-1,0.027331526017799597,0.9634135535314674
40,2024-09-30,-1,-1,0.02867656201964582,0.9651295323042126
41,2024-10-01,-1,-1,0.028749630031885586,0.9652181535190373
